n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
32274,564023.2723977391,810250.9386104767,-246227.66621273744,0.6961093724433066,0.4687364441965669,37.28339981476329,-47.347100953104466,-7.629288783935596,-245710.4780365884,-2.471170630360059,-1.94946839089369,-2.375701898700253,-1.002104868218408,2.6813224267212,5.858121088182438,5.427131746917023,15,15,430.32,0.0,-1.94946839089369,MES,baseline__prior_bar_momentum,baseline
32129,529228.1963265539,773149.9349606412,-243921.73863408726,0.6845091390371719,0.46279062529179243,35.59272286815212,-44.87231195360657,-7.591949286753004,-245251.82235830795,-2.433144068540501,-2.0760419302675355,-2.578428289595775,-0.9945766611989636,2.6987768060008093,5.877252637803854,5.435089794266862,11,18,428.38666666666666,0.0,-2.0760419302675355,MES,baseline__prior_bar_mean_reversion,baseline
11665,254145.6705488514,390408.37553861423,-136262.7049897628,0.6509739198044293,0.46712387483926276,46.64079107154549,-62.91835222217796,-11.68132918900667,-136214.0372255062,-1.3633112090242703,-2.0328209289531807,-2.275163761796365,-1.000357288905372,2.449121303043292,5.342434633519074,5.023960565795114,12,11,155.53333333333333,0.0,-2.0328209289531807,MES,baseline__atr_breakout,baseline
24315,407543.32909967494,621732.5712424626,-214189.2421427876,0.6554961859007088,0.457413119473576,36.64298948927126,-47.190327988042704,-8.808934490758281,-213802.473412321,-2.150177779228187,-2.243653364727952,-2.7029063545149703,-1.001809000262222,2.6236068270614847,5.74553773390911,5.232747275344438,14,15,324.2,0.0,-2.243653364727952,MES,baseline__vwap_mean_reversion,baseline
21857,415567.41504015075,591918.1476603654,-176350.73262021467,0.7020690558022858,0.47472205700690856,40.050830285288235,-51.68236686111634,-8.06838690672163,-176982.79307823617,-1.7630365170873927,-1.8057396255201252,-2.108933531389761,-0.9964286897780956,2.623644598984307,5.707473578258681,5.369698494761404,12,17,291.4266666666667,0.0,-1.8057396255201252,MES,baseline__opening_range_breakout,baseline
1563,144163.8331336027,207080.07306840605,-62916.239934803336,0.6961743397008564,0.47728726807421623,193.2491060772154,-254.0859792250381,-40.25351243429516,-62777.71699917343,-0.6294324631508105,-2.5874020047863993,-5.4937646948983145,-1.0022065621728762,3.060140754958413,5.584612923864364,5.251759436980167,8,12,20.84,0.0,-2.5874020047863993,MES,baseline__random_entry_matched_holding,baseline
32480,530043.1745378153,758769.3768886048,-228726.20235078956,0.6985563607104179,0.47312192118226604,34.49230002849061,-44.43224084374333,-7.0420628802583,-228276.1211247998,-2.296149914870499,-2.0009812112885017,-2.4717582508294735,-1.001971652679974,2.672937192118227,5.7917102832512315,5.444019396551724,12,16,433.06666666666666,0.0,-2.0009812112885017,MES,baseline__ema_crossover_9_21,baseline
7579,213687.72576079014,327267.1072917528,-113579.38153096262,0.6529459300970669,0.47064256498218765,59.90684770417442,-81.77588887849896,-14.9860643265553,-114351.97300955339,-1.135856385027606,-2.0850885805767514,-2.372232732222427,-0.9932437415966034,2.4219554030874786,5.465166908563135,5.095791001451379,13,12,101.05333333333333,0.0,-2.0850885805767514,MES,baseline__donchian_channel_20,baseline
9185,217205.15198479668,346353.7798467481,-129148.62786195145,0.627119334689819,0.4562874251497006,51.826569311571625,-69.45132942585685,-14.060819582139516,-128890.44594109742,-1.2922407915085543,-2.293046369751652,-2.620405387296318,-1.0020031113940906,2.336418072945019,5.531927054980947,4.899782253674469,8,14,122.46666666666667,0.0,-2.293046369751652,MES,baseline__bollinger_mean_reversion_20,baseline
1214,193288.96423541952,228337.85459797934,-35048.8903625598,0.8465042494847458,0.4728171334431631,336.7403558108354,-356.77789780934273,-28.87058514214152,-35373.570596479396,-0.3536357664799263,-1.2955129728730455,-6.172067693487877,-0.9908213892902317,2.831136738056013,25.077429983525537,23.671952224052717,7,9,19.26984126984127,0.0,-1.2955129728730455,MNQ,strategy__cost=fixed_tick__slip=1x__conf=0.50,strategy
821,140031.71977422974,163019.0328102634,-22987.313036033633,0.8589900047880397,0.47868453105968334,356.3148085858263,-380.8855906781855,-27.999163259480675,-26511.41934004854,-0.2615309546916223,-1.1879836509606707,-6.571417054594911,-0.8670721375263625,2.745432399512789,24.532886723507918,24.159561510353228,6,10,13.241935483870968,0.0,-1.1879836509606707,MNQ,strategy__cost=fixed_tick__slip=1x__conf=0.65,strategy
1209,166732.36529510698,213546.4230324597,-46814.05773735268,0.7807780759210524,0.46980976013234077,293.5428966463151,-333.14574576046755,-38.72130499367468,-46998.973056726274,-0.4706827611798871,-1.9002296845366957,-7.075681608763424,-0.9960655455354226,2.8296112489660876,25.26571546732837,23.516129032258064,7,9,19.19047619047619,0.0,-1.9002296845366957,MNQ,strategy__cost=fixed_tick__slip=2x__conf=0.50,strategy
