symbol,date_prev,close_prev,date_next,open_next,gap,gap_atr_mult
MGC.v.0,2025-08-29,3516.0,2025-09-01,3541.0,25.0,10.478334353088904
MGC.v.0,2025-09-02,3592.3,2025-09-03,3614.2,21.899999999999636,6.89586166304003
MGC.v.0,2025-09-03,3635.4,2025-09-04,3605.5,29.90000000000009,12.463952561077683
MGC.v.0,2025-09-10,3682.1,2025-09-11,3662.2,19.90000000000009,9.640476640755168
MGC.v.0,2025-09-12,3686.4,2025-09-15,3675.9,10.5,6.398473568299437
MGC.v.0,2025-09-16,3725.3,2025-09-17,3705.7,19.600000000000364,8.573740163299108
MGC.v.0,2025-09-17,3717.9,2025-09-18,3705.1,12.800000000000182,5.942844009700748
MGC.v.0,2025-09-19,3706.0,2025-09-22,3749.1,43.09999999999991,20.804783212905583
MGC.v.0,2025-09-22,3775.0,2025-09-23,3814.3,39.30000000000018,18.348041517931385
MGC.v.0,2025-09-26,3809.1,2025-09-29,3847.0,37.90000000000009,13.018010535466583
MGC.v.0,2025-09-30,3873.4,2025-10-01,3905.2,31.799999999999727,9.855219105845283
MGC.v.0,2025-10-03,3909.1,2025-10-06,3954.6,45.5,14.255463458649697
MGC.v.0,2025-10-07,4004.1,2025-10-08,4061.9,57.80000000000018,11.810010781263715
MGC.v.0,2025-10-10,3999.8,2025-10-13,4103.1,103.30000000000018,13.626828370871108
MGC.v.0,2025-10-15,4204.7,2025-10-16,4254.7,50.0,6.911029701150108
MGC.v.0,2025-10-17,4212.8,2025-10-20,4310.4,97.59999999999945,7.175441744615718
MGC.v.0,2025-10-20,4359.2,2025-10-21,4241.0,118.19999999999982,19.769469081878295
MGC.v.0,2025-10-22,4066.0,2025-10-23,4123.0,57.0,5.520772522956481
MGC.v.0,2025-10-23,4146.5,2025-10-24,4075.1,71.40000000000009,10.569730214098438
MGC.v.0,2025-10-24,4137.3,2025-10-27,4048.2,89.10000000000036,15.699012003212758
MGC.v.0,2025-10-27,4020.5,2025-10-28,3935.3,85.19999999999982,12.783812409845392
MGC.v.0,2025-10-28,3982.6,2025-10-29,4040.3,57.70000000000027,9.522765359383293
MGC.v.0,2025-11-03,4013.6,2025-11-04,3994.0,19.59999999999991,5.244131904144978
MGC.v.0,2025-11-05,3993.5,2025-11-06,4022.3,28.800000000000182,8.717292729955552
MGC.v.0,2025-11-07,4010.0,2025-11-10,4110.1,100.10000000000036,20.196270867773897
MGC.v.0,2025-11-10,4122.3,2025-11-11,4148.1,25.800000000000182,7.063061456660431
MGC.v.0,2025-11-13,4195.1,2025-11-14,4056.8,138.30000000000018,25.160497374971037
MGC.v.0,2025-11-17,4074.5,2025-11-18,4048.5,26.0,5.718486959619383
MGC.v.0,2025-11-18,4066.4,2025-11-19,4110.1,43.70000000000027,8.526583052134468
MGC.v.0,2025-11-24,4094.5,2025-11-25,4138.9,44.399999999999636,12.568431111975663
MGC.v.0,2025-11-26,4165.8,2025-11-27,4185.0,19.199999999999818,10.54539407441708
MGC.v.0,2025-11-27,4188.6,2025-11-28,4220.1,31.5,21.267152813195466
MGC.v.0,2025-11-28,4255.2,2025-12-01,4291.8,36.600000000000364,8.383066074897549
MGC.v.0,2025-12-01,4274.8,2025-12-02,4234.4,40.400000000000546,8.017848093517161
MGC.v.0,2025-12-02,4220.2,2025-12-03,4251.8,31.600000000000364,7.3531160663217285
MGC.v.0,2025-12-04,4243.6,2025-12-05,4263.1,19.5,6.354379658790556
MGC.v.0,2025-12-10,4224.7,2025-12-11,4240.9,16.199999999999818,5.8627729830711095
MGC.v.0,2025-12-11,4312.6,2025-12-12,4370.7,58.099999999999454,12.725059089363585
MGC.v.0,2025-12-12,4327.7,2025-12-15,4372.9,45.19999999999982,6.3379207171694505
MGC.v.0,2025-12-16,4331.9,2025-12-17,4359.6,27.700000000000728,5.807802714352883
MGC.v.0,2025-12-19,4387.2,2025-12-22,4452.8,65.60000000000036,18.930768541953682
MGC.v.0,2025-12-22,4469.3,2025-12-23,4520.5,51.19999999999982,15.187487023003762
MGC.v.0,2025-12-24,4506.5,2025-12-26,4548.8,42.30000000000018,10.708626343021438
MGC.v.0,2025-12-26,4551.4,2025-12-29,4472.0,79.39999999999964,12.068558501507818
MGC.v.0,2025-12-29,4345.3,2025-12-30,4409.7,64.39999999999964,8.16857510144652
MGC.v.0,2025-12-30,4386.2,2025-12-31,4341.1,45.099999999999454,8.2723484666269
MGC.v.0,2025-12-31,4342.4,2026-01-02,4386.4,44.0,8.733662316160956
MGC.v.0,2026-01-02,4329.0,2026-01-05,4411.2,82.19999999999982,14.716625393963154
MGC.v.0,2026-01-06,4496.5,2026-01-07,4451.1,45.399999999999636,10.418548108493496
MGC.v.0,2026-01-09,4500.9,2026-01-12,4615.1,114.20000000000073,19.752662672034468
MGC.v.0,2026-01-13,4600.3,2026-01-14,4638.0,37.69999999999982,5.375242731540465
MGC.v.0,2026-01-15,4624.0,2026-01-16,4590.3,33.69999999999982,9.23801806838015
MGC.v.0,2026-01-16,4595.2,2026-01-19,4676.8,81.60000000000036,12.993535957456126
MGC.v.0,2026-01-19,4683.8,2026-01-20,4724.7,40.899999999999636,16.362026099506156
MGC.v.0,2026-01-20,4766.2,2026-01-21,4870.7,104.5,22.85768903299933
MGC.v.0,2026-01-23,4979.8,2026-01-26,5070.0,90.19999999999982,13.378996977067803
MGC.v.0,2026-01-27,5082.7,2026-01-28,5276.2,193.5,26.258798655264126
MGC.v.0,2026-01-28,5302.6,2026-01-29,5503.8,201.19999999999982,17.08893724877863
